Team,FG,FGA,2P,2PA,3P,3PA,FT,FTA,Asists,Blocks,Turnovers,Total_ORB,Total_DRB,Total_RB,Points
AIX Armani Exchange Milan,26.5833,60.0556,17.6111,34.3611,8.9722,25.6944,10.7500,14.6389,15.6944,2.2500,10.9167,8.2500,21.6944,29.9444,72.8889
Alba Berlin,27.7647,61.3529,18.5588,36.1765,9.2059,25.1765,11.0588,14.2059,17.2059,2.1471,12.6176,10.0294,21.8235,31.8529,75.7941
Anadolu Efes,29.1000,60.9000,19.3000,34.0000,9.8000,26.9000,13.0250,15.9750,16.8000,2.7500,10.6500,7.3250,22.5750,29.9000,81.0250
AS Monaco,30.5526,63.4737,22.0263,40.4211,8.5263,23.0526,13.7895,18.3421,15.2895,2.1053,10.1053,8.7368,21.7632,30.5000,83.4211
Barcelona,29.2051,59.3077,20.2051,36.8462,9.0000,22.4615,14.1026,17.4359,18.4103,1.7692,12.7436,8.4872,22.2051,30.6923,81.5128
Bayern Munchen,26.1389,58.0833,17.1111,33.3333,9.0278,24.7500,13.4722,16.8889,13.6944,1.4722,9.9444,8.2222,19.8611,28.0833,74.7778
Bitci Baskonia,27.7813,61.6563,19.0625,36.5625,8.7188,25.0938,10.5625,13.5625,17.5625,2.4375,11.8750,8.5313,23.2813,31.8125,74.8438
Crvena zvezda mts,26.8182,58.8788,19.7273,37.1515,7.0909,21.7273,12.4545,17.2424,16.0909,1.3939,11.3939,8.9394,19.2121,28.1515,73.4242
CSKA Moscow,28.6250,63.8750,18.8750,36.4167,9.7500,27.4583,13.0417,16.0833,16.4583,2.6250,10.8333,10.7500,20.7083,31.4583,80.0417
Fenerbahce Beko,27.7097,58.3226,20.1935,35.3226,7.5161,23.0000,11.5161,15.5161,18.0968,1.9677,12.5484,7.8387,20.8710,28.7097,74.4516
LDLC ASVEL,28.0625,59.7813,21.4063,40.5938,6.6563,19.1875,10.1875,13.8125,14.0313,2.8438,12.5625,7.5625,20.5000,28.0625,72.9688
Maccabi Tel Aviv,28.6857,61.2286,20.4857,38.4286,8.2000,22.8000,14.1429,17.3714,16.0571,2.0857,11.2857,8.0286,20.8857,28.9143,79.7143
Olympiacos,28.4474,58.9211,19.4474,33.4474,9.0000,25.4737,14.1316,18.6316,17.3158,2.3947,11.2895,7.2105,22.2632,29.4737,80.0263
Panathinaikos OPAP,27.2188,59.5938,19.4375,36.2500,7.7813,23.3438,12.8125,15.9375,15.2813,3.1250,11.9063,7.3125,21.6563,28.9688,75.0313
Real Madrid,29.0263,63.7105,19.4737,36.6579,9.5526,27.0526,11.3158,14.7895,18.0526,3.3421,11.8947,9.9474,25.0789,35.0263,78.9211
UNICS,28.8000,62.2800,19.8400,38.4000,8.9600,23.8800,10.1200,13.7600,16.4800,1.8800,12.5600,8.3600,21.3600,29.7200,76.6800
Zalgiris,26.5313,59.1250,18.0938,35.2188,8.4375,23.9063,11.5313,14.4063,16.6250,1.8438,11.4375,8.1250,20.1250,28.2500,73.0313
Zenit Saint Petersburg,26.8696,58.5652,18.3478,34.6957,8.5217,23.8696,11.7826,16.0870,15.1304,2.6957,12.2609,8.8696,21.7391,30.6087,74.0435
