Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron White,Crvena zvezda mts,18,326,31,83,.373,11,37,.297,20,46,.435,.440,26,31,.839,25,40,65,22,10,1,14,19,99
Achille Polonara,Fenerbah?e Beko,30,671,82,188,.436,32,106,.302,50,82,.610,.521,24,40,.600,38,90,128,33,22,14,13,42,220
Adam Hanga,Real Madrid,31,584,71,166,.428,21,71,.296,50,95,.526,.491,17,22,.773,15,80,95,54,21,11,21,67,180
Adrien Moerman,Anadolu Efes,40,990,120,247,.486,59,142,.415,61,105,.581,.605,35,49,.714,47,165,212,24,15,20,33,60,334
Agustin Ubal,Barcelona,1,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Ahmet D?verio?lu,Fenerbah?e Beko,18,151,26,35,.743,0,1,.000,26,34,.765,.743,12,26,.462,16,28,44,2,3,3,7,23,64
Bu?rahan Tuncer,Anadolu Efes,10,56,5,15,.333,2,10,.200,3,5,.600,.400,1,2,.500,2,4,6,5,4,0,5,4,13
Alberto Abalde,Real Madrid,30,563,65,164,.396,25,74,.338,40,90,.444,.473,24,32,.750,20,69,89,44,14,0,33,56,179
Alec Peters,Bitci Baskonia,12,286,46,88,.523,16,41,.390,30,47,.638,.614,9,11,.818,16,29,45,16,7,3,10,27,117
Aleksandar Vezenkov,Olympiacos,38,1147,187,353,.530,60,162,.370,127,191,.665,.615,85,102,.833,57,169,226,58,38,9,31,57,519
Alex Abrines,Barcelona,13,190,31,62,.500,23,45,.511,8,17,.471,.685,6,6,1.000,5,17,22,2,4,2,6,23,91
Alex Barrera,Bitci Baskonia,6,26,1,4,.250,1,4,.250,0,0,,.375,0,0,,0,2,2,0,0,0,2,0,3
Alex Poythress,Zenit Saint Petersburg,23,464,71,113,.628,0,2,.000,71,111,.640,.628,36,47,.766,38,58,96,21,17,13,22,56,178
Alexander Khomenko,CSKA Moscow,5,28,1,5,.200,0,1,.000,1,4,.250,.200,4,5,.800,4,2,6,2,3,0,3,6,6
Alexey Shved,CSKA Moscow,24,600,93,234,.397,41,126,.325,52,108,.481,.485,36,41,.878,21,41,62,87,26,10,39,48,263
Alpha Diallo,AS Monaco,34,837,120,243,.494,26,68,.382,94,175,.537,.547,60,82,.732,60,103,163,58,46,11,46,94,326
Andreas Obst,Bayern M?nchen,31,216,32,85,.376,25,69,.362,7,16,.438,.524,1,2,.500,1,11,12,7,2,0,7,36,90
Andrei Lopatin,CSKA Moscow,2,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Andrey Vorontsevich,UNICS,19,373,38,90,.422,21,55,.382,17,35,.486,.539,8,13,.615,16,34,50,20,6,5,15,32,105
Andrey Zubkov,Zenit Saint Petersburg,22,422,36,91,.396,16,45,.356,20,46,.435,.484,6,17,.353,29,51,80,15,10,3,16,43,94
Angelo Caloiaro,Maccabi Tel Aviv,35,690,40,92,.435,13,40,.325,27,52,.519,.505,21,23,.913,31,78,109,44,21,1,15,65,114
Ante Zizic,Maccabi Tel Aviv,31,654,156,234,.667,0,0,,156,234,.667,.667,65,89,.730,67,89,156,19,15,25,34,46,377
Anthony Randolph,Real Madrid,17,153,21,50,.420,10,31,.323,11,19,.579,.520,10,12,.833,11,27,38,4,2,3,7,16,62
Antoine Diot,LDLC ASVEL,16,210,16,49,.327,13,40,.325,3,9,.333,.459,7,7,1.000,3,12,15,30,6,0,15,21,52
Anton Pushkov,Zenit Saint Petersburg,7,39,4,7,.571,0,0,,4,7,.571,.571,0,2,.000,4,2,6,0,1,0,2,10,8
Armel Traore,AS Monaco,1,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Artem Klimenko,UNICS,8,24,2,7,.286,0,0,,2,7,.286,.286,1,2,.500,3,0,3,0,0,0,5,7,5
Artem Komolov,UNICS,1,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,0,0,0,0
Arturas Gudaitis,Zenit Saint Petersburg,17,324,47,77,.610,0,0,,47,77,.610,.610,20,40,.500,30,41,71,14,4,12,10,40,114
Arturas Milaknis,?algiris,31,625,71,166,.428,57,137,.416,14,29,.483,.599,27,29,.931,3,25,28,19,16,2,9,60,226
Arturs Kurucs,Bitci Baskonia,26,220,5,32,.156,3,23,.130,2,9,.222,.203,8,11,.727,5,9,14,22,6,3,11,37,21
Augustine Rubit,Bayern M?nchen,36,916,132,273,.484,16,45,.356,116,228,.509,.513,98,113,.867,56,121,177,51,22,10,39,104,378
Austin Hollins,Crvena zvezda mts,28,578,82,200,.410,35,112,.313,47,88,.534,.498,28,34,.824,16,37,53,28,29,3,27,59,227
Ben Bentil,AIX Armani Exchange Milan,23,361,48,106,.453,20,49,.408,28,57,.491,.547,13,21,.619,14,42,56,5,16,2,19,43,129
Ben Lammers,Alba Berlin,24,415,70,156,.449,1,10,.100,69,146,.473,.452,21,25,.840,26,50,76,18,14,21,15,23,162
Billy Baron,Zenit Saint Petersburg,23,470,78,193,.404,51,143,.357,27,50,.540,.536,51,61,.836,3,35,38,50,4,0,29,24,258
Yakuba Ouattara,AS Monaco,30,425,46,92,.500,23,46,.500,23,46,.500,.625,8,11,.727,24,33,57,10,10,1,7,43,123
Brandon Davies,Barcelona,36,717,140,270,.519,6,24,.250,134,246,.545,.530,70,103,.680,38,95,133,56,23,10,62,87,356
Branko Lazic,Crvena zvezda mts,25,406,28,72,.389,18,53,.340,10,19,.526,.514,19,22,.864,11,15,26,10,8,2,12,53,93
Brock Motum,AS Monaco,30,272,37,67,.552,15,27,.556,22,40,.550,.664,10,11,.909,7,27,34,8,7,3,11,31,99
Bryant Dunston,Anadolu Efes,37,664,99,140,.707,4,8,.500,95,132,.720,.721,62,89,.697,55,64,119,33,31,36,23,100,264
Carlos Aloc?n Arrondo,Real Madrid,9,97,7,31,.226,2,16,.125,5,15,.333,.258,8,10,.800,5,8,13,14,3,0,7,10,24
